model;split;series_id;horizon_step;ds;y_true;y_pred
latent_shared_v2;val;Adenovirus;1;26/4/2025;28.399.999.141.693.100;2.561.558.246.612.540
latent_shared_v2;val;Adenovirus;2;3/5/2025;2.609.999.895.095.820;2.487.830.877.304.070
latent_shared_v2;val;Adenovirus;3;10/5/2025;29.200.000.762.939.400;27.099.521.160.125.700
latent_shared_v2;val;Adenovirus;4;17/5/2025;27.200.000.286.102.200;2.534.668.207.168.570
latent_shared_v2;val;HCOV;1;26/4/2025;2.140.000.104.904.170;20.137.314.796.447.700
latent_shared_v2;val;HCOV;2;3/5/2025;1.559.999.942.779.540;16.196.467.876.434.300
latent_shared_v2;val;HCOV;3;10/5/2025;13.200.000.524.520.800;11.181.623.935.699.400
latent_shared_v2;val;HCOV;4;17/5/2025;1.159.999.966.621.390;1.120.447.039.604.180
latent_shared_v2;val;HMPV;1;26/4/2025;7.380.000.114.440.910;6.908.236.503.601.070
latent_shared_v2;val;HMPV;2;3/5/2025;7.389.999.866.485.590;681.485.652.923.584
latent_shared_v2;val;HMPV;3;10/5/2025;6.630.000.114.440.910;6.561.905.384.063.720
latent_shared_v2;val;HMPV;4;17/5/2025;6.179.999.828.338.620;6.386.702.060.699.460
latent_shared_v2;val;PIV;1;26/4/2025;5.329.999.923.706.050;5.393.271.446.228.020
latent_shared_v2;val;PIV;2;3/5/2025;6.349.999.904.632.560;6.147.299.766.540.520
latent_shared_v2;val;PIV;3;10/5/2025;7.079.999.923.706.050;6.473.971.366.882.320
latent_shared_v2;val;PIV;4;17/5/2025;7.570.000.171.661.370;7.047.998.428.344.720
latent_shared_v2;val;RSV;1;26/4/2025;1.5;12.657.077.312.469.400
latent_shared_v2;val;RSV;2;3/5/2025;11.200.000.047.683.700;10.736.310.482.025.100
latent_shared_v2;val;RSV;3;10/5/2025;0.8600000143051147;0.8615903258323669
latent_shared_v2;val;RSV;4;17/5/2025;0.7599999904632568;0.5259870886802673
latent_shared_v2;val;RV/EV;1;26/4/2025;21.329.999.923.706.000;20.885.330.200.195.300
latent_shared_v2;val;RV/EV;2;3/5/2025;21.850.000.381.469.700;2.197.740.936.279.290
latent_shared_v2;val;RV/EV;3;10/5/2025;22.510.000.228.881.800;22.828.569.412.231.400
latent_shared_v2;val;RV/EV;4;17/5/2025;21.950.000.762.939.400;24.734.275.817.871.000
latent_shared_v2;test;Adenovirus;1;11/10/2025;2.200.000.047.683.710;2.151.839.256.286.620
latent_shared_v2;test;Adenovirus;2;18/10/2025;23.299.999.237.060.500;22.624.378.204.345.700
latent_shared_v2;test;Adenovirus;3;25/10/2025;2.509.999.990.463.250;245.160.174.369.812
latent_shared_v2;test;Adenovirus;4;1/11/2025;26.600.000.858.306.800;23.294.613.361.358.600
latent_shared_v2;test;HCOV;1;11/10/2025;0.3199999928474426;0.26051363348960876
latent_shared_v2;test;HCOV;2;18/10/2025;0.30000001192092896;0.3063840866088867
latent_shared_v2;test;HCOV;3;25/10/2025;0.33000001311302185;0.428056538105011
latent_shared_v2;test;HCOV;4;1/11/2025;0.4399999976158142;0.5642517805099487
latent_shared_v2;test;HMPV;1;11/10/2025;0.5199999809265137;0.7274648547172546
latent_shared_v2;test;HMPV;2;18/10/2025;0.6800000071525574;0.947580099105835
latent_shared_v2;test;HMPV;3;25/10/2025;0.7200000286102295;10.295.660.495.758.000
latent_shared_v2;test;HMPV;4;1/11/2025;0.7200000286102295;0.9633510708808899
latent_shared_v2;test;PIV;1;11/10/2025;4.480.000.019.073.480;4.699.626.922.607.420
latent_shared_v2;test;PIV;2;18/10/2025;521.999.979.019.165;5.370.119.571.685.790
latent_shared_v2;test;PIV;3;25/10/2025;5.210.000.038.146.970;5.456.547.737.121.580
latent_shared_v2;test;PIV;4;1/11/2025;5.179.999.828.338.620;5.886.684.894.561.760
latent_shared_v2;test;RSV;1;11/10/2025;0.7200000286102295;0.7341693639755249
latent_shared_v2;test;RSV;2;18/10/2025;0.8399999737739563;10.051.274.299.621.500
latent_shared_v2;test;RSV;3;25/10/2025;11.200.000.047.683.700;10.642.073.154.449.400
latent_shared_v2;test;RSV;4;1/11/2025;12.599.999.904.632.500;12.128.691.673.278.800
latent_shared_v2;test;RV/EV;1;11/10/2025;268.700.008.392.334;2.619.430.923.461.910
latent_shared_v2;test;RV/EV;2;18/10/2025;25.440.000.534.057.600;2.565.683.937.072.750
latent_shared_v2;test;RV/EV;3;25/10/2025;2.459.000.015.258.780;24.986.404.418.945.300
latent_shared_v2;test;RV/EV;4;1/11/2025;24.729.999.542.236.300;24.292.892.456.054.600
nbeats;val;Adenovirus;1;26/4/2025;28.399.999.141.693.100;26.705.574.989.318.800
nbeats;val;Adenovirus;2;3/5/2025;2.609.999.895.095.820;2.589.803.457.260.130
nbeats;val;Adenovirus;3;10/5/2025;29.200.000.762.939.400;25.191.822.052.001.900
nbeats;val;Adenovirus;4;17/5/2025;27.200.000.286.102.200;24.998.490.810.394.200
nbeats;val;HCOV;1;26/4/2025;2.140.000.104.904.170;1.943.847.417.831.420
nbeats;val;HCOV;2;3/5/2025;1.559.999.942.779.540;16.964.117.288.589.400
nbeats;val;HCOV;3;10/5/2025;13.200.000.524.520.800;15.336.326.360.702.500
nbeats;val;HCOV;4;17/5/2025;1.159.999.966.621.390;15.439.070.463.180.500
nbeats;val;HMPV;1;26/4/2025;7.380.000.114.440.910;7.647.506.237.030.020
nbeats;val;HMPV;2;3/5/2025;7.389.999.866.485.590;7.320.171.356.201.170
nbeats;val;HMPV;3;10/5/2025;6.630.000.114.440.910;68.162.150.382.995.600
nbeats;val;HMPV;4;17/5/2025;6.179.999.828.338.620;63.811.492.919.921.800
nbeats;val;PIV;1;26/4/2025;5.329.999.923.706.050;54.956.817.626.953.100
nbeats;val;PIV;2;3/5/2025;6.349.999.904.632.560;6.145.875.453.948.970
nbeats;val;PIV;3;10/5/2025;7.079.999.923.706.050;65.094.218.254.089.300
nbeats;val;PIV;4;17/5/2025;7.570.000.171.661.370;69.969.868.659.973.100
nbeats;val;RSV;1;26/4/2025;1.5;10.892.680.883.407.500
nbeats;val;RSV;2;3/5/2025;11.200.000.047.683.700;0.9364563822746277
nbeats;val;RSV;3;10/5/2025;0.8600000143051147;0.8811718225479126
nbeats;val;RSV;4;17/5/2025;0.7599999904632568;0.74149090051651
nbeats;val;RV/EV;1;26/4/2025;21.329.999.923.706.000;2.137.353.515.625
nbeats;val;RV/EV;2;3/5/2025;21.850.000.381.469.700;21.588.279.724.121.000
nbeats;val;RV/EV;3;10/5/2025;22.510.000.228.881.800;21.528.942.108.154.200
nbeats;val;RV/EV;4;17/5/2025;21.950.000.762.939.400;2.179.934.310.913.080
nbeats;test;Adenovirus;1;11/10/2025;2.200.000.047.683.710;23.343.470.096.588.100
nbeats;test;Adenovirus;2;18/10/2025;23.299.999.237.060.500;24.069.607.257.843.000
nbeats;test;Adenovirus;3;25/10/2025;2.509.999.990.463.250;2.452.014.207.839.960
nbeats;test;Adenovirus;4;1/11/2025;26.600.000.858.306.800;25.063.223.838.806.100
nbeats;test;HCOV;1;11/10/2025;0.3199999928474426;0.3113214671611786
nbeats;test;HCOV;2;18/10/2025;0.30000001192092896;0.3143981993198395
nbeats;test;HCOV;3;25/10/2025;0.33000001311302185;0.30180585384368896
nbeats;test;HCOV;4;1/11/2025;0.4399999976158142;0.35879242420196533
nbeats;test;HMPV;1;11/10/2025;0.5199999809265137;0.39588814973831177
nbeats;test;HMPV;2;18/10/2025;0.6800000071525574;0.3737269639968872
nbeats;test;HMPV;3;25/10/2025;0.7200000286102295;0.3230723440647125
nbeats;test;HMPV;4;1/11/2025;0.7200000286102295;0.33480966091156006
nbeats;test;PIV;1;11/10/2025;4.480.000.019.073.480;4.581.885.814.666.740
nbeats;test;PIV;2;18/10/2025;521.999.979.019.165;4.786.888.599.395.750
nbeats;test;PIV;3;25/10/2025;5.210.000.038.146.970;5.043.591.022.491.450
nbeats;test;PIV;4;1/11/2025;5.179.999.828.338.620;53.719.682.693.481.400
nbeats;test;RSV;1;11/10/2025;0.7200000286102295;0.8163959383964539
nbeats;test;RSV;2;18/10/2025;0.8399999737739563;0.9734212160110474
nbeats;test;RSV;3;25/10/2025;11.200.000.047.683.700;11.012.002.229.690.500
nbeats;test;RSV;4;1/11/2025;12.599.999.904.632.500;12.843.139.171.600.300
nbeats;test;RV/EV;1;11/10/2025;268.700.008.392.334;27.603.654.861.450.100
nbeats;test;RV/EV;2;18/10/2025;25.440.000.534.057.600;26.113.344.192.504.800
nbeats;test;RV/EV;3;25/10/2025;2.459.000.015.258.780;2.452.540.397.644.040
nbeats;test;RV/EV;4;1/11/2025;24.729.999.542.236.300;23.261.117.935.180.600
nhits;val;Adenovirus;1;26/4/2025;28.399.999.141.693.100;26.831.746.101.379.300
nhits;val;Adenovirus;2;3/5/2025;2.609.999.895.095.820;2.650.890.350.341.790
